id,pop,lat,lon
mur22,embu,-0.438549,37.505069
mur21,embu,-0.60518,37.535569
mur20,embu,-0.565014,37.652642
mur9,kiambu,-0.994761,36.892326
mur8,kiambu,-1.154371,36.697168
mur7,kiambu,-1.060484,36.988681
mur6,kiambu,-1.184578,36.57305
mur5,kiambu,-0.870834,36.786503
mur4,kiambu,-1.046086,37.245816
mur3,kiambu,-1.143403,37.027777
mur24,kiambu,-1.112592,37.096758
mur2,kiambu,-1.200527,36.776289
mur1,kiambu,-1.036863,36.808352
mur30,kilifi,-3.459819,39.899035
mur32,kwale,-4.144428,39.400706
mur31,kwale,-3.932409,39.122979
mur18,machakos,-1.385012,37.365982
mur17,machakos,-1.176047,37.312284
mur16,machakos,-1.333061,37.472223
mur15,machakos,-1.299004,37.381572
mur14,machakos,-1.261482,37.344618
mur13,machakos,-1.244165,37.249925
mur12,machakos,-1.659757,37.324987
mur11,machakos,-1.700734,37.130981
mur10,machakos,-0.920303,37.376953
mur23,meru,0.234835,38.002997
mur29,muranga,-0.796639,37.156567
mur28,muranga,-0.736906,36.868863
mur27,muranga,-0.910609,37.232785
mur26,muranga,-0.835087,36.83041
mur25,muranga,-0.868397,37.125692
mur19,nyeri,-0.599231,37.117182
